temperature,humidity,ph,rainfall,N,P,K
39.37,81.25,6.13,74.08,32,121,199
17.67,82.93,6.31,69.87,6,140,205
24.07,82.66,6.05,69.82,8,120,196
15.31,80.1,5.8,74.82,34,133,202
21.77,80.55,6.4,69.4,35,135,199
26.92,80.77,5.95,69.31,16,145,199
41.66,82.22,5.61,74.2,8,136,201
17.99,81.18,5.78,72.37,25,129,195
29.12,82.79,5.68,68.85,16,130,201
34.39,83.18,5.86,71.03,39,129,203
41.36,82.8,6.44,69.92,38,135,203
35.12,82.27,5.55,69.72,33,120,205
19.65,80.15,6.11,73.7,35,125,204
16.28,82.94,5.62,66.57,1,132,200
21.12,80.63,6.35,69.28,39,140,203
19.21,82.9,6.48,66.83,28,145,202
25.96,82.58,5.84,70.32,6,128,200
25.67,81.62,6.29,74.11,6,139,199
41.95,81.16,5.64,73.07,29,122,196
11.19,80.81,6.42,66.34,37,144,197
17.54,82.95,6.32,73.77,38,120,197
13.06,80.28,5.76,70.76,38,141,198
9.72,83.75,6.16,74.46,14,121,203
27.92,82.93,5.73,69.92,6,125,204
9.54,80.73,5.91,69.44,32,138,197
13.43,80.07,6.36,71.4,11,124,204
9.85,80.23,5.97,68.43,23,138,200
24.97,82.73,6.48,66.7,40,143,201
27.24,82.95,6.22,70.43,6,142,202
18.71,83.48,6.21,66.6,37,124,195
9.95,82.55,5.84,66.01,35,134,204
26.47,80.92,6.28,53.66,119,25,51
25.19,83.45,6.82,46.87,119,19,55
25.3,81.78,6.38,57.04,105,30,50
24.75,88.31,6.58,57.96,114,8,50
26.59,81.33,6.93,41.88,93,22,52
24.53,88.99,6.14,49.12,80,26,55
26.07,88.73,6.47,57.8,85,27,45
25.97,89.77,6.85,59.46,85,22,53
26.22,85.35,6.51,54.6,82,22,45
24.41,89.82,6.04,44.08,118,13,54
26.49,80.05,6.06,57.73,83,25,53
24.04,84.18,6.42,53.79,86,15,47
25.54,83.32,6.94,57.57,101,10,47
26.75,83.92,6.25,40.79,119,9,50
25.71,80.23,6.19,43.09,104,17,46
25.76,84.17,6.68,44.22,95,12,51
26.79,89.65,6.51,57.74,102,14,52
24.9,89.74,6.77,57.45,109,21,55
26.81,88.23,6.43,58.8,81,18,50
25.11,80.03,6.21,44.21,103,17,51
26.21,87.69,6.42,59.66,105,14,50
24.91,86.97,6.24,49.49,97,8,52
25.79,84.27,6.76,56.45,120,19,49
25.27,87.55,6.61,40.13,95,16,55
25.76,87.59,6.7,46.05,83,29,52
25.85,89.13,6.05,46.85,83,9,45
24.34,81.44,6.76,48.32,91,21,50
25.38,80.99,6.65,57.23,116,5,54
24.86,85.05,6.74,55.3,112,28,54
24.72,88.95,6.1,48.46,88,29,51
24.21,84.21,6.54,48.01,118,15,45
25.82,82.04,6.38,54.83,92,21,48
24.47,84.16,6.42,57.27,106,14,45
24.13,84.84,6.65,51.19,99,5,47
26.18,86.52,6.26,49.43,98,8,51
26.18,86.73,6.12,53.33,108,22,46
26.04,84.64,6.03,44.4,119,7,55
26.53,82.39,6.84,54.31,117,27,48
26.82,87.83,6.55,46.06,109,10,53
25.5,81.4,6.94,48.48,80,16,46
26.2,80.38,6.88,56.48,100,18,52
25.14,89.28,6.46,43.53,91,7,53
25.92,83.47,6.92,42.11,86,6,53
26.66,89.98,6.88,57.41,107,5,52
24.07,81.64,6.92,51.75,103,16,49
24.68,82.75,6.21,57.06,101,20,48
26.11,87.64,6.3,58.48,85,25,47
26.82,87.66,6.4,55.74,84,7,51
25.16,80.28,6.86,55.5,102,28,54
25.28,83.15,6.22,49.29,98,25,52
26.22,80.9,6.09,49.09,97,25,50
24.92,80.62,6.29,50.56,90,16,45
26.22,81.01,6.32,54.65,95,12,46
26.81,87.22,6.87,51.7,82,23,49
24.31,87.47,6.07,48.11,82,25,51
24.29,88.05,6.5,51.26,110,28,46
24.43,86.34,6.68,48.58,118,21,51
25.67,88.7,6.11,54.23,120,20,45
25.08,83.46,6.41,56.4,91,7,52
24.89,85.87,6.11,51.71,81,6,55
25.43,82.91,6.83,56.34,101,13,54
24.37,87.13,6.45,44.64,101,17,55
26.49,88.59,6.31,46.06,111,6,53
25.83,89.0,6.76,45.25,107,10,49
24.42,89.4,6.62,40.32,115,11,46
24.37,81.25,6.13,44.21,84,25,52
24.25,83.04,6.65,54.77,120,7,47
24.64,85.5,6.34,48.31,91,12,46
24.9,86.11,6.22,53.15,89,22,52
25.42,81.12,6.29,49.52,113,19,46
26.26,86.15,6.77,58.98,97,22,50
24.9,87.21,6.74,46.59,117,30,50
24.85,89.2,6.39,59.68,90,14,52
26.98,86.7,6.77,42.91,104,23,47
26.9,86.25,6.73,59.76,81,16,45
25.86,86.67,6.66,41.17,88,5,47
26.71,81.14,6.94,51.51,92,7,45
26.44,80.92,6.51,47.82,81,18,50
26.28,84.42,6.52,50.79,111,5,55
26.84,83.85,6.11,40.23,108,23,51
26.04,83.99,6.28,43.88,113,30,50
24.93,85.01,6.2,48.76,83,10,53
25.51,84.24,6.79,44.21,101,11,51
25.44,87.94,6.47,57.52,114,21,55
26.13,86.55,6.0,40.71,99,6,45
25.1,87.53,6.59,59.27,92,20,55
26.28,86.63,6.96,54.39,92,7,48
26.27,83.09,6.26,46.77,91,24,55
26.74,87.82,6.75,47.46,110,21,54
25.05,85.57,6.93,56.72,112,25,51
24.69,85.57,6.35,48.99,89,25,54
24.54,84.61,6.21,42.01,100,10,53
25.9,81.97,6.28,54.5,83,22,54
26.63,84.32,6.56,56.32,95,14,50
25.36,80.46,6.9,47.72,119,30,49
25.29,89.64,6.77,58.29,97,12,47
26.64,84.7,6.19,48.32,110,7,45
25.33,84.31,6.9,41.53,96,18,50
26.9,83.89,6.46,43.97,83,23,55
26.99,89.41,6.26,58.55,120,24,47
27.58,94.12,6.78,28.08,115,17,55
27.82,93.04,6.53,26.32,114,27,48
29.1,94.22,6.75,22.52,101,25,52
28.05,90.83,6.56,20.76,118,18,52
29.92,94.56,6.12,28.16,95,26,45
29.87,93.25,6.08,26.26,81,25,49
29.17,92.21,6.29,21.3,117,24,53
29.25,90.07,6.07,25.93,114,30,51
27.76,90.36,6.74,25.22,113,6,52
28.83,94.27,6.2,26.24,108,26,52
28.52,92.1,6.04,29.87,81,30,48
29.07,90.98,6.02,29.12,115,9,52
29.08,90.74,6.7,25.33,83,7,45
28.47,94.79,6.49,21.08,84,21,55
28.28,90.39,6.22,21.59,109,26,45
28.47,91.21,6.16,20.89,95,27,55
29.69,94.3,6.17,26.84,119,5,55
27.02,91.67,6.09,21.26,110,14,51
29.1,94.17,6.16,26.71,82,18,48
29.69,92.59,6.61,29.11,87,14,48
28.21,92.87,6.45,28.79,85,9,53
29.05,93.92,6.11,23.67,100,6,53
29.57,93.62,6.56,27.57,107,12,46
29.11,92.44,6.14,27.96,91,13,47
28.2,92.91,6.1,20.36,102,25,50
29.12,92.13,6.41,24.52,117,25,53
29.63,90.1,6.08,23.7,85,21,52
29.81,90.37,6.12,22.69,104,25,55
27.72,90.94,6.7,22.82,102,24,54
29.26,92.92,6.09,28.71,116,25,50
29.73,94.3,6.37,26.52,100,17,48
28.91,90.78,6.43,23.44,110,25,54
28.96,93.88,6.47,23.56,104,25,51
28.59,91.34,6.09,29.44,107,11,54
27.34,90.7,6.15,28.69,98,26,52
29.9,90.75,6.65,25.38,88,17,52
27.43,90.03,6.38,21.75,87,25,46
29.56,90.71,6.73,28.37,120,8,46
29.84,93.76,6.13,23.28,95,13,46
28.54,91.73,6.16,25.13,108,22,47
27.12,94.87,6.44,26.52,82,13,52
27.84,91.61,6.73,26.48,120,23,55
29.03,91.82,6.24,24.94,110,22,47
27.82,90.57,6.27,21.19,95,23,45
27.73,92.01,6.35,20.21,106,10,49
28.7,94.31,6.0,22.22,99,12,52
29.73,90.97,6.34,20.49,106,20,51
29.54,92.92,6.16,21.97,83,11,53
28.8,91.78,6.12,25.16,117,19,55
27.29,90.53,6.13,23.5,98,26,49
27.47,94.88,6.44,27.28,113,20,48
29.49,94.73,6.19,26.31,101,17,47
27.79,92.51,6.16,26.85,98,7,45
29.13,91.52,6.78,21.9,93,22,48
27.93,93.56,6.43,20.66,95,21,47
29.46,92.13,6.71,20.76,109,12,48
27.97,92.17,6.01,28.95,118,12,47
29.49,91.08,6.37,26.02,100,14,49
29.47,90.77,6.67,28.75,89,9,47
27.08,90.14,6.75,24.45,95,16,46
27.3,90.8,6.03,25.09,95,7,45
29.83,90.79,6.4,22.84,87,6,45
29.93,93.23,6.45,24.35,93,20,50
29.94,93.91,6.25,20.39,84,29,49
28.03,91.47,6.27,21.18,111,5,47
29.88,94.04,6.14,21.0,111,5,52
27.71,92.91,6.19,22.06,111,15,54
29.79,94.65,6.33,27.87,89,11,47
28.58,92.87,6.21,27.6,110,15,48
29.48,90.34,6.64,26.04,95,30,52
27.51,94.96,6.69,21.02,115,12,52
28.05,94.82,6.33,21.85,120,25,50
29.03,93.13,6.36,24.16,102,11,45
28.59,91.89,6.09,26.88,94,5,55
27.09,93.42,6.78,25.32,84,18,46
28.0,90.85,6.63,21.62,107,22,54
27.87,91.15,6.48,24.05,80,18,52
28.97,90.72,6.57,22.26,86,18,45
28.88,92.49,6.17,24.44,113,28,48
29.17,94.2,6.01,22.07,115,18,53
29.34,90.02,6.54,21.45,82,20,54
29.07,91.92,6.34,28.84,98,22,47
28.68,92.51,6.15,29.11,117,25,54
28.93,91.39,6.44,23.2,83,15,49
28.0,91.64,6.55,23.29,120,16,51
27.59,91.8,6.4,24.84,111,5,50
29.87,90.61,6.19,24.7,85,21,47
28.56,90.46,6.16,27.27,90,23,54
29.19,91.46,6.66,26.48,99,29,55
27.99,92.78,6.5,27.15,102,11,47
28.05,91.82,6.71,20.77,80,18,51
27.35,94.29,6.07,27.21,87,21,52
29.34,94.55,6.42,28.23,114,8,52
28.61,94.22,6.4,28.99,99,6,46
27.05,91.35,6.38,25.08,89,25,50
29.53,94.57,6.7,21.14,96,13,55
28.5,93.47,6.57,24.2,82,26,47
28.9,94.79,6.29,23.04,106,21,52
27.05,91.38,6.45,23.66,90,15,52
28.96,91.7,6.59,24.75,106,16,54
22.75,90.69,5.52,110.43,24,128,196
23.85,94.35,6.13,114.05,7,144,197
22.61,94.59,6.23,116.04,14,128,205
21.19,91.13,6.32,122.23,8,120,201
23.41,91.7,5.59,116.08,20,129,201
22.86,93.13,5.82,117.73,32,137,204
22.48,93.41,5.77,105.55,27,139,205
22.03,92.96,5.79,121.13,0,123,205
21.91,91.69,6.5,117.08,22,144,196
23.71,93.27,5.66,112.67,1,124,199
21.38,92.72,5.57,106.14,30,122,197
22.85,94.32,6.08,123.6,29,121,196
23.11,92.8,6.38,108.18,13,126,204
23.25,94.54,5.87,105.36,9,139,199
23.67,90.49,5.71,104.23,0,133,200
23.77,90.6,5.8,102.26,30,143,199
23.34,91.48,6.28,104.43,36,140,198
22.64,90.18,5.7,108.34,37,137,199
22.46,94.76,5.61,114.84,33,121,203
22.96,93.58,5.86,104.65,7,144,195
21.07,93.57,6.04,107.87,35,128,205
22.44,92.71,5.69,121.5,29,128,198
22.71,90.45,5.67,109.89,2,143,196
21.7,93.44,5.75,115.18,34,140,198
22.43,92.49,5.8,119.1,29,144,204
21.26,92.84,5.82,109.07,32,141,203
22.92,94.9,6.28,105.69,13,144,197
22.81,91.52,6.03,107.86,25,143,198
21.12,90.69,5.64,102.8,9,137,200
21.11,90.32,5.56,104.51,6,144,198
23.6,90.98,5.6,107.17,37,126,196
23.13,94.71,5.89,108.62,2,120,203
22.98,93.32,5.88,122.2,11,143,197
22.13,90.98,6.39,104.54,10,141,201
22.54,91.48,5.71,101.85,24,142,202
22.49,91.7,5.8,124.39,23,138,195
22.36,94.48,6.05,116.74,18,125,204
22.21,93.51,6.44,120.16,13,121,196
22.45,94.74,5.62,107.18,26,122,202
22.77,92.12,6.44,120.44,28,123,202
22.19,90.03,6.16,112.31,26,121,201
23.61,91.7,5.81,123.59,21,137,196
23.86,94.92,5.77,105.02,21,135,198
21.42,92.63,6.18,102.8,5,144,205
22.37,90.79,5.74,124.98,2,123,205
24.0,91.61,5.82,117.61,15,133,199
21.8,92.73,5.55,120.06,31,130,198
23.8,92.8,6.02,100.62,25,143,200
23.71,91.53,5.63,121.9,16,143,204
23.34,90.38,5.81,112.9,19,122,202
22.31,90.04,5.73,113.07,10,125,196
23.5,92.21,5.67,107.99,20,139,202
23.46,91.46,5.68,111.78,28,123,198
23.06,92.4,6.25,114.74,28,136,200
22.47,91.23,6.02,124.22,2,131,199
22.7,92.82,5.53,105.05,2,140,197
23.67,93.9,5.95,105.4,27,138,201
22.5,92.46,6.13,100.93,30,127,204
23.83,90.84,6.41,109.6,32,145,203
23.64,93.74,6.16,116.69,29,139,205
21.41,92.99,5.88,118.4,26,126,195
22.85,94.58,5.94,117.53,40,136,202
22.98,93.85,5.97,109.59,6,124,200
21.2,90.81,5.67,103.68,35,138,200
23.87,90.5,5.88,103.05,17,136,196
21.04,94.34,6.09,114.74,33,134,205
22.62,93.52,5.9,116.93,16,143,197
21.45,90.75,6.11,116.7,27,120,200
22.81,92.13,6.21,109.34,29,145,205
21.98,91.13,6.14,115.48,3,141,197
22.53,92.55,6.37,115.38,15,123,204
22.36,91.92,6.26,107.77,5,136,195
21.2,92.16,6.28,105.86,10,136,204
23.88,93.45,5.51,104.91,7,141,195
22.78,94.37,5.68,122.14,2,129,201
22.19,92.44,5.83,121.66,29,138,197
22.91,90.7,5.6,118.6,30,137,200
23.09,90.23,6.1,108.22,29,132,204
21.72,92.84,6.06,121.7,14,139,197
22.44,91.59,6.16,102.56,18,125,203
21.13,91.96,5.81,122.54,33,143,204
22.72,92.25,5.99,107.03,40,144,196
23.75,92.88,5.57,117.66,9,143,197
23.76,93.66,5.97,100.83,38,135,203
22.13,94.68,6.06,112.92,28,130,196
21.17,90.24,5.9,123.65,35,142,203
22.36,91.16,6.12,118.68,12,129,205
22.78,92.7,5.62,113.78,1,135,203
21.23,90.1,5.52,113.98,0,145,205
23.16,90.34,5.73,110.71,31,121,201
22.43,93.92,5.89,102.72,35,131,203
23.64,90.95,5.56,116.74,29,140,195
22.29,90.69,6.22,122.74,33,138,198
23.35,90.9,6.07,113.04,14,140,197
22.04,94.58,6.23,110.98,35,145,195
23.81,92.49,5.89,119.63,40,120,197
22.32,90.85,5.73,100.12,25,132,198
22.14,93.83,6.4,120.63,31,137,196
23.65,94.51,6.5,115.36,36,144,196
22.17,90.27,6.23,124.47,10,140,197
15.78,92.51,6.35,119.04,22,30,12
26.03,91.51,7.51,101.28,37,6,13
13.36,91.36,7.34,111.23,27,13,6
18.88,92.04,7.81,114.67,7,16,9
29.48,91.58,7.13,111.17,20,7,9
28.07,92.91,6.08,114.13,26,27,10
25.67,92.05,7.41,112.54,5,23,15
29.77,92.01,7.21,114.42,0,18,14
30.55,90.9,7.19,106.07,39,24,14
23.96,90.26,7.37,102.7,13,23,6
23.98,91.55,7.46,118.49,21,17,15
25.26,90.31,6.82,117.37,33,12,8
31.08,90.14,7.03,109.69,6,9,12
14.78,91.22,6.12,100.2,19,7,10
26.57,94.45,6.29,116.38,24,18,6
24.86,94.39,6.56,111.78,9,11,8
34.51,93.64,7.16,103.57,31,8,7
24.12,90.72,6.95,102.84,22,17,5
23.85,90.11,7.47,103.92,13,5,8
24.6,91.28,7.6,111.29,16,8,9
15.63,94.26,7.56,101.47,4,13,6
19.34,91.98,6.36,116.45,0,25,14
28.26,91.98,6.93,105.21,8,7,10
22.68,93.36,7.48,110.33,4,23,5
21.03,92.96,7.68,110.68,33,14,8
33.23,91.06,7.83,115.77,30,7,15
22.3,92.16,6.44,117.37,21,29,12
11.5,94.89,6.95,115.57,11,14,5
14.34,94.36,7.99,110.22,9,8,15
33.11,93.48,7.43,119.17,5,18,14
30.49,90.46,7.78,113.33,29,25,14
30.26,92.03,6.05,116.72,33,12,15
12.23,90.26,7.11,108.42,8,16,6
10.01,90.22,6.22,119.39,15,14,8
22.79,90.61,6.42,116.51,16,7,8
20.18,90.65,6.97,116.81,0,12,7
30.72,94.01,6.01,106.81,5,25,6
24.36,92.4,6.6,119.69,6,8,11
21.21,91.35,7.82,112.98,10,5,5
10.79,91.38,6.82,117.53,1,17,6
11.9,91.35,7.29,103.58,1,30,10
22.57,93.37,7.6,109.86,0,23,15
18.87,93.25,6.16,119.39,24,27,9
17.34,93.05,7.19,112.72,36,11,13
34.91,92.88,7.42,102.19,40,21,8
24.54,91.91,6.49,115.98,40,22,6
13.84,91.75,6.04,107.99,32,18,13
22.36,93.52,6.01,101.52,9,10,10
34.74,93.12,6.95,100.2,13,16,8
11.55,94.15,7.91,108.83,15,9,11
23.13,91.95,7.64,104.42,29,11,5
29.98,94.55,7.53,115.36,1,15,9
20.88,90.94,6.25,102.46,18,5,11
17.25,91.14,6.54,112.51,14,22,9
15.83,91.68,7.65,109.76,33,15,7
23.01,91.12,6.71,112.67,4,6,7
16.4,92.18,6.63,102.94,17,16,14
24.45,93.11,6.53,109.47,12,20,10
31.88,91.15,6.45,105.34,34,29,8
31.35,91.48,7.18,109.15,39,28,10
18.05,90.04,7.02,111.78,31,25,12
30.85,92.87,6.39,107.41,12,6,8
22.46,91.53,7.57,118.01,12,29,13
13.7,90.96,7.61,106.29,26,11,11
20.49,93.72,7.14,111.84,19,24,15
13.21,94.03,6.35,106.27,39,21,9
32.32,93.68,6.2,117.62,16,29,13
20.68,90.92,7.83,109.75,36,29,13
31.53,90.51,6.4,113.12,37,23,12
25.35,91.81,7.99,116.76,39,9,15
17.67,91.7,6.58,110.69,31,5,14
12.59,91.82,6.21,119.39,18,12,8
11.87,93.68,6.98,106.06,20,20,10
11.03,92.23,6.56,112.77,5,8,5
25.3,94.96,7.26,117.97,20,8,12
32.24,90.15,6.46,104.71,25,21,11
17.68,94.36,6.7,108.06,14,19,14
10.27,90.19,7.4,106.7,37,18,12
17.22,94.79,6.91,108.01,26,15,6
19.67,90.5,7.76,100.17,13,22,5
10.36,93.76,7.8,101.15,32,25,9
27.26,91.71,6.97,101.14,19,7,9
34.59,92.13,6.73,115.57,28,7,9
32.4,94.52,6.6,113.25,24,30,11
10.16,91.22,6.47,106.36,7,17,10
21.49,93.44,6.41,101.48,18,23,8
16.53,94.77,6.48,110.04,7,20,12
31.85,90.12,6.41,109.95,20,23,11
28.05,90.01,6.55,117.13,18,14,11
31.75,94.6,7.36,115.2,34,11,10
29.07,93.27,7.37,100.79,20,29,10
19.14,90.71,7.85,108.02,37,24,13
16.15,91.44,8.0,107.43,12,8,10
34.05,92.06,6.73,116.8,34,10,14
34.51,90.56,7.79,118.33,6,13,9
32.72,90.55,7.66,113.33,27,30,5
25.16,92.55,7.11,114.31,13,8,12
27.68,94.47,7.2,114.0,6,7,7
21.35,90.95,7.87,107.09,40,17,15
11.7,93.26,7.57,103.2,31,26,9
35.21,91.5,6.79,243.07,61,68,50
42.39,90.79,6.58,88.47,58,46,45
38.42,91.14,6.75,119.27,45,47,55
35.33,92.12,6.56,235.61,39,65,53
42.92,90.08,6.94,196.24,31,68,45
33.84,92.85,6.99,203.4,70,68,45
33.2,92.76,6.98,197.53,68,62,50
23.49,93.71,6.83,191.78,34,65,47
29.34,90.82,6.74,202.06,38,68,54
40.21,94.51,6.99,186.68,69,64,47
42.13,91.7,6.76,197.4,58,51,47
32.86,91.46,6.85,47.27,59,47,53
29.81,91.38,6.74,232.7,44,64,54
31.56,93.05,6.51,63.62,56,57,48
36.32,93.06,6.99,141.17,69,60,54
37.13,94.61,6.69,172.48,56,58,49
38.44,93.64,6.54,77.72,49,55,53
32.66,90.79,6.93,78.85,38,51,52
27.93,91.56,6.72,149.91,54,65,47
39.02,91.49,6.99,105.88,57,57,51
32.51,94.66,6.7,51.07,39,52,53
38.72,91.73,6.7,62.62,58,67,45
43.3,92.83,6.64,110.56,61,64,52
27.59,90.73,6.59,238.5,34,62,55
40.79,92.91,6.56,132.79,31,48,45
23.19,91.4,6.5,206.4,47,46,52
32.68,92.62,6.8,248.86,32,68,52
34.29,93.61,6.72,127.25,36,59,46
39.3,94.16,6.57,120.95,61,51,51
39.73,91.12,6.92,122.76,70,54,46
39.23,91.26,6.52,64.45,44,56,49
27.35,94.18,6.69,40.35,34,68,51
40.77,92.09,6.75,209.87,50,59,47
26.27,90.8,6.65,59.49,39,70,52
28.13,93.32,6.5,117.82,34,61,49
34.28,90.56,6.83,98.54,44,60,55
33.8,93.01,6.99,182.03,31,62,52
31.53,90.87,6.51,207.07,65,62,51
42.3,90.51,6.93,74.88,44,57,53
24.64,90.62,6.71,218.23,50,47,48
28.28,91.37,6.63,179.27,43,50,48
24.49,92.98,6.76,183.49,60,46,53
42.85,94.64,6.69,78.81,70,68,55
43.68,93.11,6.61,103.82,59,62,52
42.07,92.92,6.84,165.74,60,58,51
33.47,92.13,6.83,136.83,42,60,47
31.7,91.66,6.95,48.84,35,66,47
41.42,90.04,6.67,199.31,34,65,48
42.55,94.94,6.66,214.41,36,54,46
28.92,94.64,6.68,63.69,39,64,52
43.08,93.9,6.54,211.85,37,52,47
29.2,93.97,6.84,209.41,33,47,46
41.04,91.37,6.81,181.53,34,48,48
25.62,93.18,6.76,97.26,49,54,50
35.33,91.06,6.68,163.91,40,65,49
24.43,92.28,6.58,63.35,68,52,49
31.18,90.22,6.73,54.02,50,46,52
31.88,91.33,6.52,79.27,65,63,50
42.93,91.18,6.5,246.36,40,49,47
23.11,94.32,6.76,231.52,42,53,48
24.87,93.91,6.68,135.17,49,55,51
43.36,93.35,6.94,114.78,59,62,49
26.83,90.75,6.86,144.67,63,58,47
30.42,93.13,6.58,75.95,70,65,52
28.65,93.23,6.75,115.82,63,50,52
32.5,93.48,6.89,71.74,40,64,47
43.04,94.64,6.72,41.59,63,58,50
30.11,90.35,6.83,75.25,45,58,49
23.69,93.61,6.91,87.53,66,69,47
35.68,93.31,6.59,141.34,54,67,52
27.72,94.44,6.83,82.83,69,67,52
35.27,92.38,6.82,149.85,67,68,49
23.17,90.79,6.66,161.69,45,57,47
33.09,92.25,6.77,88.13,56,50,52
37.46,90.45,6.93,172.35,70,50,53
38.73,94.74,6.58,218.14,44,47,45
32.58,92.75,6.93,93.79,50,60,47
38.38,93.1,6.99,210.27,52,51,53
42.94,90.09,6.61,234.85,35,68,45
25.65,92.75,6.81,52.95,68,69,52
37.59,92.0,6.97,159.66,32,55,52
29.61,93.16,6.57,62.69,32,55,51
25.35,93.03,6.8,174.4,48,62,47
25.93,93.02,6.96,241.82,39,69,53
32.77,94.57,6.76,240.48,49,61,45
29.02,90.2,6.62,126.81,48,57,54
40.0,90.17,6.53,92.12,69,66,49
33.32,91.25,6.71,234.5,53,55,55
31.23,94.94,6.62,46.44,38,61,52
26.68,92.96,6.58,62.51,57,64,55
24.71,90.15,6.68,108.41,51,57,55
38.2,93.97,6.75,218.09,56,65,45
36.57,93.8,6.87,104.42,54,66,52
26.05,93.69,6.74,240.69,58,55,47
31.3,92.76,6.99,54.78,68,70,54
40.1,94.35,6.98,149.12,42,59,55
38.59,91.58,6.83,102.27,43,64,47
41.31,91.15,6.62,239.74,35,67,49
37.04,91.79,6.55,188.52,56,59,55
23.01,91.07,6.6,208.34,39,64,53
26.76,92.86,6.42,224.59,18,30,29
25.61,94.31,5.74,224.32,37,23,28
28.13,95.65,5.69,151.08,13,28,33
25.03,91.54,6.29,179.82,2,21,35
27.8,99.65,6.38,181.69,10,18,35
29.26,95.11,5.54,184.76,7,11,32
27.1,93.7,5.55,150.95,39,5,31
25.85,90.93,5.86,147.89,34,6,27
26.59,90.99,5.56,178.81,31,30,29
28.39,99.19,5.56,189.67,25,7,35
28.44,91.81,5.57,145.54,16,18,26
28.27,96.94,6.07,198.82,26,10,33
27.01,96.46,5.63,144.33,27,8,32
27.64,99.35,6.38,157.92,37,18,30
26.3,99.66,5.69,215.92,19,15,34
27.13,95.24,6.23,204.72,0,19,33
25.57,97.61,6.44,199.79,31,20,26
25.95,93.41,5.84,172.05,9,17,32
28.03,95.02,5.96,218.01,22,11,29
29.13,91.31,5.74,157.24,31,6,26
27.08,97.0,5.95,171.76,34,6,30
28.11,90.02,6.39,172.48,24,6,32
27.51,94.19,5.56,156.67,1,8,26
27.64,95.49,5.86,205.55,31,13,33
29.01,94.01,6.28,150.05,10,9,28
26.58,95.79,6.25,171.63,36,27,26
28.29,97.0,5.97,142.94,38,24,33
28.69,96.65,6.08,178.96,11,6,25
29.71,96.3,6.37,209.85,16,14,30
27.15,96.66,6.03,149.24,33,14,35
29.29,91.96,5.87,132.15,16,6,29
25.07,93.31,6.21,134.84,32,11,31
26.92,91.2,5.57,194.9,38,14,30
28.28,93.65,6.1,171.95,8,6,33
29.18,92.73,6.03,204.96,23,6,33
28.36,91.65,5.54,160.73,29,25,35
29.38,93.28,6.37,218.52,24,14,33
25.39,98.09,5.58,218.08,32,12,30
26.31,98.62,5.8,208.12,30,25,31
29.53,91.91,6.12,194.31,14,21,35
28.83,92.17,6.0,145.42,27,22,29
28.48,97.77,5.82,160.39,40,5,29
28.74,93.4,5.62,156.77,17,11,32
25.01,95.59,6.0,165.81,30,30,35
29.87,91.15,6.31,192.77,28,10,30
27.54,94.59,6.36,150.2,39,7,29
26.52,98.38,5.59,144.63,32,20,35
25.04,95.9,6.18,174.8,7,15,32
29.2,95.67,5.96,211.25,29,17,29
27.06,91.11,5.68,224.7,34,15,34
26.19,96.97,5.61,135.42,14,23,25
27.59,92.49,6.21,162.84,18,19,29
25.76,94.66,5.76,131.25,7,21,35
28.88,95.11,6.2,145.06,24,27,34
26.51,94.48,6.14,199.88,39,29,29
26.87,91.73,6.1,214.41,29,8,28
27.57,94.9,5.71,145.93,10,24,27
28.06,98.37,5.87,171.65,0,29,32
29.52,92.56,6.46,131.21,32,11,31
28.96,95.16,6.17,222.8,37,10,32
25.1,92.36,6.05,157.76,20,29,27
27.19,92.2,6.14,141.32,31,29,35
29.03,90.79,5.89,205.57,17,30,27
27.75,95.95,5.56,131.09,1,12,30
27.31,99.97,5.83,201.83,6,13,29
28.84,99.64,6.22,224.4,15,28,32
26.61,96.97,6.14,191.01,27,24,29
29.7,95.66,6.08,215.2,3,23,30
25.55,91.64,5.7,212.87,8,26,26
26.38,91.5,5.55,167.05,20,28,26
27.46,92.91,5.84,142.14,26,18,27
27.02,95.72,6.23,147.17,1,6,35
28.99,90.74,5.72,148.84,27,30,31
26.11,91.52,5.85,134.13,23,7,34
25.07,95.02,5.55,192.9,0,26,31
25.55,96.93,6.16,191.3,38,6,25
28.57,95.68,6.44,134.84,25,12,26
26.07,96.7,5.98,143.53,40,5,32
25.52,94.38,6.27,178.73,0,19,31
25.95,94.74,6.47,144.16,26,9,32
28.3,95.41,6.14,182.45,35,30,34
29.57,91.41,5.83,224.83,19,30,30
29.7,95.21,6.34,148.3,31,13,33
26.14,93.28,6.07,195.41,17,29,26
26.0,94.8,6.33,209.54,2,30,30
27.15,91.49,6.41,164.92,30,13,25
28.97,98.1,5.5,213.9,8,15,33
26.14,96.39,6.34,131.34,18,12,35
25.52,94.33,6.02,135.13,8,28,30
27.56,99.98,5.74,174.63,40,22,29
27.81,97.48,6.47,154.06,27,10,33
25.6,99.72,5.86,165.82,21,20,31
26.92,99.85,6.32,225.63,3,9,35
29.18,90.27,6.01,188.93,22,16,27
26.45,98.3,6.01,221.23,27,8,30
28.44,95.88,5.67,203.93,22,8,33
28.94,93.0,5.76,191.77,28,27,32
26.45,93.45,5.9,149.22,23,21,26
25.79,93.84,5.78,152.42,37,5,34
26.93,98.8,5.67,166.57,19,26,29
24.4,79.2,7.23,90.8,133,47,24
23.1,84.86,6.93,71.3,136,36,20
23.97,76.98,7.63,90.76,104,47,18
24.89,75.62,6.83,89.76,133,47,23
